	description	short_description
PF01593	Flavin containing amine oxidoreductase	Amino_oxidase
PF02293	AmiS/UreI family transporter	AmiS_UreI
PF01871	AMMECR1	AMMECR1
PF00909	Ammonium Transporter Family	Ammonium_transp
PF14828	Amnionless	Amnionless
PF10423	Bacterial AMP nucleoside phosphorylase N-terminus	AMNp_N
PF02461	Ammonia monooxygenase	AMO
PF05145	Putative ammonia monooxygenase	AmoA
PF04896	Ammonia monooxygenase/methane monooxygenase, subunit C	AmoC
PF03782	AMOP domain	AMOP
PF00501	AMP-binding enzyme	AMP-binding
PF13193	AMP-binding enzyme C-terminal domain	AMP-binding_C
PF14535	AMP-binding enzyme C-terminal domain	AMP-binding_C_2
PF04739	5'-AMP-activated protein kinase beta subunit, interation domain	AMPKBI
PF05195	Aminopeptidase P, N-terminal domain	AMP_N
PF15243	Anaphase-promoting complex subunit 15	ANAPC15
PF01821	Anaphylotoxin-like domain	ANATO
PF02166	Androgen receptor	Androgen_recep
PF06369	Sea anemone cytotoxic protein	Anemone_cytotox
PF03139	Vanadium/alternative nitrogenase delta subunit	AnfG_VnfG
PF09582	Iron only nitrogenase protein AnfO (AnfO_nitrog)	AnfO_nitrog
PF01094	Receptor family ligand binding region	ANF_receptor
PF12240	Angiomotin C terminal	Angiomotin_C
PF08174	Cell division protein anillin	Anillin
PF00023	Ankyrin repeat	Ank
PF07260	Progressive ankylosis protein (ANKH)	ANKH
PF12796	Ankyrin repeats (3 copies)	Ank_2
PF13606	Ankyrin repeat	Ank_3
PF13637	Ankyrin repeats (many copies)	Ank_4
PF13857	Ankyrin repeats (many copies)	Ank_5
PF00191	Annexin	Annexin
PF04547	Calcium-activated chloride channel	Anoctamin
PF10731	Thrombin inhibitor from mosquito	Anophelin
PF00212	Atrial natriuretic peptide	ANP
PF03452	Anp1	Anp1
PF03374	Phage antirepressor protein KilAC domain	ANT
PF08346	AntA/AntB antirepressor	AntA
PF03861	ANTAR domain	ANTAR
PF07651	ANTH domain	ANTH
PF09156	Anthrax toxin lethal factor, middle domain	Anthrax-tox_M
PF03497	Anthrax toxin LF subunit	Anthrax_toxA
PF05587	Anthrax receptor extracellular domain	Anth_Ig
PF04715	Anthranilate synthase component I, N terminal region	Anth_synt_I_N
PF10796	Sigma-S stabilisation anti-adaptor protein	Anti-adapt_IraP
PF02522	Aminoglycoside 3-N-acetyltransferase	Antibiotic_NAT
PF08264	Anticodon-binding domain of tRNA	Anticodon_1
PF11410	Antifungal peptide	Antifungal_pept
PF11402	Antifungal protein	Antifungal_prot
PF11641	Glycosylphosphatidylinositol-anchored merozoite surface protein	Antigen_Bd37
PF09255	Caf1 Capsule antigen	Antig_Caf1
PF08105	Metchnikowin family	Antimicrobial10
PF08106	Formaecin family	Antimicrobial11
PF08107	Pleurocidin family	Antimicrobial12
PF08108	Halocidin family	Antimicrobial13
PF08109	Lactocin 705 family	Antimicrobial14
PF08110	Ocellatin family	Antimicrobial15
PF08129	Alpha/beta enterocin family	Antimicrobial17
PF08130	Type A lantibiotic family	Antimicrobial18
PF08225	Pseudin antimicrobial peptide	Antimicrobial19
PF08256	Aurein-like antibiotic peptide	Antimicrobial20
PF14861	Plant antimicrobial peptide	Antimicrobial21
PF08018	Frog antimicrobial peptide	Antimicrobial_1
PF08023	Frog antimicrobial peptide	Antimicrobial_2
PF08025	Spider antimicrobial peptide	Antimicrobial_3
PF08024	Ant antimicrobial peptide	Antimicrobial_4
PF08026	Bee antimicrobial peptide	Antimicrobial_5
PF08036	Diapausin family of antimicrobial peptide	Antimicrobial_6
PF08102	Scorpion antimicrobial peptide	Antimicrobial_7
PF08103	Uperin family	Antimicrobial_8
PF08104	Ponericin L family	Antimicrobial_9
PF03230	Antirestriction protein	Antirestrict
PF02822	Antistasin family	Antistasin
PF03589	Antitermination protein	Antiterm
PF04014	Antidote-toxin recognition MazE	Antitoxin-MazE
PF05586	Anthrax receptor C-terminus region	Ant_C
PF03098	Animal haem peroxidase	An_peroxidase
PF01786	Alternative oxidase	AOX
PF15001	AP-5 complex subunit sigma-1	AP-5_subunit_s1
PF00847	AP2 domain	AP2
PF14796	Clathrin-adaptor complex-3 beta-1 subunit C-terminal	AP3B1_C
PF14807	Adaptin AP4 complex epsilon appendage platform	AP4E_app_platf
PF02558	Ketopantoate reductase PanE/ApbA	ApbA
PF08546	Ketopantoate reductase PanE/ApbA C terminal	ApbA_C
PF02424	ApbE family	ApbE
PF12859	Anaphase-promoting complex subunit 1	Apc1
PF03256	Anaphase-promoting complex, subunit 10 (APC10)	APC10
PF05839	Apc13p protein	Apc13p
PF05841	Apc15p protein	Apc15p
PF08672	Anaphase promoting complex (APC) subunit 2	APC2
PF12895	Anaphase-promoting complex, cyclosome, subunit 3	Apc3
PF12896	Anaphase-promoting complex, cyclosome, subunit 4	Apc4
PF12894	Anaphase-promoting complex subunit 4 WD40 domain	Apc4_WD40
PF12862	Anaphase-promoting complex subunit 5	Apc5
PF04049	Anaphase promoting complex subunit 8 / Cdc23	APC8
PF12856	Anaphase-promoting complex subunit 9	Apc9
PF14921	Adenomatosis polyposis coli down-regulated 1	APCDDC
PF05972	APC 15 residue motif	APC_15aa
PF05956	APC basic domain	APC_basic
PF10471	Anaphase-promoting complex APC subunit 1	APC_CDC26
PF05923	APC cysteine-rich region	APC_crr
PF15360	APJ endogenous ligand	Apelin
PF04110	Ubiquitin-like autophagy protein Apg12	APG12
PF04108	Autophagy protein Apg17	APG17
PF04106	Autophagy protein Apg5	APG5
PF04111	Autophagy protein Apg6	APG6
PF04109	Autophagy protein Apg9	APG9
PF01636	Phosphotransferase enzyme family	APH
PF06105	Aph-1 protein	Aph-1
PF14557	Putative AphA-like transcriptional regulator	AphA_like
PF04655	Aminoglycoside/hydroxyurea antibiotic resistance kinase	APH_6_hur
PF05918	Apoptosis inhibitory protein 5 (API5)	API5
PF00807	Apidaecin	Apidaecin
PF11671	Complementary sex determiner protein	Apis_Csd
PF05355	Apolipoprotein C-II	Apo-CII
PF05778	Apolipoprotein CIII (Apo-CIII)	Apo-CIII
PF05418	Apovitellenin I (Apo-VLDL-II)	Apo-VLDL-II
PF04711	Apolipoprotein A-II (ApoA-II)	ApoA-II
PF12491	Apolipoprotein B100 C terminal	ApoB100_C
PF05240	APOBEC-like C-terminal domain	APOBEC_C
PF08210	APOBEC-like N-terminal domain	APOBEC_N
PF04691	Apolipoprotein C-I (ApoC-1)	ApoC-I
PF15119	Apolipoprotein C4	APOC4
PF01333	Apocytochrome F, C-terminal	Apocytochr_F_C
PF05461	Apolipoprotein L	ApoL
PF01442	Apolipoprotein A1/A4/E domain	Apolipoprotein
PF15148	Apolipoprotein F	Apolipo_F
PF07464	Apolipophorin-III precursor (apoLp-III)	ApoLp-III
PF11032	Apolipoprotein M (ApoM)	ApoM
PF09769	Apolipoprotein O	ApoO
PF05634	APO RNA-binding	APO_RNA-bind
PF10515	beta-amyloid precursor protein C-terminus	APP_amyloid
PF12924	Copper-binding of amyloid precursor, CuBD	APP_Cu_bd
PF12925	E2 domain of amyloid precursor protein	APP_E2
PF02177	Amyloid A4 N-terminal heparin-binding	APP_N
PF12716	Nuclear pore assembly and biogenesis	Apq12
PF12139	Adenosine-5'-phosphosulfate reductase beta subunit	APS-reductase_C
PF01583	Adenylylsulphate kinase	APS_kinase
PF03440	Aerolysin/Pertussis toxin (APT) domain	APT
PF10351	Golgi-body localisation protein domain	Apt1
PF06079	Apyrase	Apyrase
PF01261	Xylose isomerase-like TIM barrel	AP_endonuc_2
PF07582	AP endonuclease family 2 C terminus	AP_endonuc_2_N
PF12489	Nuclear coactivator	ARA70
PF09206	Alpha-L-arabinofuranosidase B, catalytic	ArabFuran-catal
PF12625	Arabinose-binding domain of AraC transcription regulator, N-term	Arabinose_bd
PF02610	L-arabinose isomerase	Arabinose_Isome
PF11762	L-arabinose isomerase C-terminal domain	Arabinose_Iso_C
PF04602	Mycobacterial cell wall arabinan synthesis protein	Arabinose_trans
PF14896	EmbC C-terminal domain	Arabino_trans_C
PF02311	AraC-like ligand binding domain	AraC_binding
PF14525	AraC-binding-like domain	AraC_binding_2
PF06719	AraC-type transcriptional regulator N-terminus	AraC_N
PF09692	Argonaute siRNA chaperone (ARC) complex subunit Arb1	Arb1
PF09757	Arb2 domain	Arb2
PF03869	Arc-like DNA binding domain	Arc
PF12942	Archaeal ammonia monooxygenase subunit A (AmoA)	Archaeal_AmoA
PF01951	Archease protein family (MTH1598/TM1083)	Archease
PF01637	Archaeal ATPase	Arch_ATPase
PF01917	Archaebacterial flagellin	Arch_flagellin
PF04659	Archaeal flagella protein	Arch_fla_DE
PF06819	Archaeal Peptidase A24 C-terminal Domain	Arc_PepC
PF06847	Archaeal Peptidase A24 C-terminus Type II	Arc_PepC_II
PF08394	Archaeal TRASH domain	Arc_trans_TRASH
PF03079	ARD/ARD' family	ARD
PF07275	Antirestriction protein (ArdA)	ArdA
PF07573	Nitrogen regulatory protein AreA N terminus	AreA_N
PF00798	Arenavirus glycoprotein	Arena_glycoprot
PF00843	Arenavirus nucleocapsid protein	Arena_nucleocap
PF06317	Arenavirus RNA polymerase	Arena_RNA_pol
PF00025	ADP-ribosylation factor family	Arf
PF14949	ARF7 effector protein C-terminus	ARF7EP_C
PF06456	Arfaptin-like domain	Arfaptin
PF01412	Putative GTPase activating protein for Arf	ArfGap
PF00491	Arginase family	Arginase
PF00764	Arginosuccinate synthase	Arginosuc_synth
PF01960	ArgJ family	ArgJ
PF03308	ArgK protein	ArgK
PF15346	Arginine and glutamate-rich 1	ARGLU
PF11581	Antagonist of EGFR signalling, Argos	Argos
PF01316	Arginine repressor, DNA binding domain	Arg_repressor
PF02863	Arginine repressor, C-terminal domain	Arg_repressor_C
PF03485	Arginyl tRNA synthetase N terminal domain	Arg_tRNA_synt_N
PF15441	Rho guanine nucleotide exchange factor 5/35	ARHGEF5_35
PF01388	ARID/BRIGHT DNA binding domain	ARID
PF06770	Actin-rearrangement-inducing factor (Arif-1)	Arif-1
PF11527	The ARF-like 2 binding protein BART	ARL2_Bind_BART
PF15062	Haemopoietic lineage transmembrane helix	ARL6IP6
PF00514	Armadillo/beta-catenin-like repeat	Arm
PF10208	Degradation arginine-rich protein for mis-folding	Armet
PF04826	Armadillo-like	Arm_2
PF07302	AroM protein	AroM
PF11723	Homotrimeric ring hydroxylase	Aromatic_hydrox
PF05856	ARP2/3 complex 20 kDa subunit (ARPC4)	ARPC4
PF12120	Rifampin ADP-ribosyl transferase	Arr-ms
PF02752	Arrestin (or S-antigen), C-terminal domain	Arrestin_C
PF00339	Arrestin (or S-antigen), N-terminal domain	Arrestin_N
PF04959	Arsenite-resistance protein 2	ARS2
PF02374	Anion-transporting ATPase	ArsA_ATPase
PF02040	Arsenical pump membrane protein	ArsB
PF03960	ArsC family	ArsC
PF06953	Arsenical resistance operon trans-acting repressor ArsD	ArsD
PF09824	ArsR transcriptional regulator	ArsR
PF01129	NAD:arginine ADP-ribosyltransferase	ART
PF01606	Arterivirus envelope protein	Arteri_env
PF00951	Arterivirus GL envelope glycoprotein	Arteri_Gl
PF02497	Arterivirus glycoprotein	Arteri_GP4
PF01481	Arterivirus nucleocapsid protein	Arteri_nucleo
PF04161	Arv1-like family	Arv1
PF01731	Arylesterase	Arylesterase
PF05935	Arylsulfotransferase (ASST)	Arylsulfotrans
PF14269	Arylsulfotransferase (ASST)	Arylsulfotran_2
PF00858	Amiloride-sensitive sodium channel	ASC
PF04266	ASCH domain	ASCH
PF08688	Apx/Shroom domain ASD1	ASD1
PF08687	Apx/Shroom domain ASD2	ASD2
PF04729	ASF1 like histone chaperone	ASF1_hist_chap
PF01671	African swine fever virus multigene family 360 protein	ASFV_360
PF05568	African swine fever virus J13L protein	ASFV_J13L
PF05293	African swine fever virus (ASFV) L11L protein	ASFV_L11L
PF06556	IAP-like protein p27 C-terminus	ASFV_p27
PF15323	Developmental protein	Ashwin
PF09010	Anti-Sigma Factor A	AsiA
PF08328	Adenylosuccinate lyase C-terminal	ASL_C
PF14698	Argininosuccinate lyase C-terminal	ASL_C2
PF05170	AsmA family	AsmA
PF13109	AsmA-like C-terminal region	AsmA_1
PF13502	AsmA-like C-terminal region	AsmA_2
PF03590	Aspartate-ammonia ligase	AsnA
PF01037	AsnC family	AsnC_trans_reg
PF00733	Asparagine synthase	Asn_synthase
PF00026	Eukaryotic aspartyl protease	Asp
PF06826	Predicted Permease Membrane Region	Asp-Al_Ex
PF05279	Aspartyl beta-hydroxylase N-terminal region	Asp-B-Hydro_N
PF03780	Asp23 family	Asp23
PF00710	Asparaginase	Asparaginase
PF01112	Asparaginase	Asparaginase_2
PF06089	L-asparaginase II	Asparaginase_II
PF14521	Lysine-specific metallo-endopeptidase	Aspzincin_M35
PF05118	Aspartyl/Asparaginyl beta-hydroxylase	Asp_Arg_Hydrox
PF02261	Aspartate decarboxylase	Asp_decarbox
PF01177	Asp/Glu/Hydantoin racemase	Asp_Glu_race
PF14669	Putative aspartate racemase	Asp_Glu_race_2
PF09668	Aspartyl protease	Asp_protease
PF13650	Aspartyl protease	Asp_protease_2
PF06392	Acid shock protein repeat	Asr
PF07100	Anabaena sensory rhodopsin transducer	ASRT
PF04958	Arginine N-succinyltransferase beta subunit	AstA
PF01400	Astacin (Peptidase family M12A)	Astacin
PF04996	Succinylarginine dihydrolase	AstB
PF04952	Succinylglutamate desuccinylase / Aspartoacylase family	AstE_AspA
PF03115	Astrovirus capsid protein precursor	Astro_capsid
PF12226	Turkey astrovirus capsid protein	Astro_capsid_p
PF13919	Asx homology domain	ASXH
PF15321	ATPase family AAA domain containing 4	ATAD4
PF14196	L-2-amino-thiazoline-4-carboxylic acid hydrolase	ATC_hydrolase
PF04377	Arginine-tRNA-protein transferase, C terminus	ATE_C
PF04376	Arginine-tRNA-protein transferase, N terminus	ATE_N
PF10377	Autophagy-related protein 11	ATG11
PF10033	Autophagy-related protein 13	ATG13
PF10186	UV radiation resistance protein and autophagy-related subunit 14	Atg14
PF08614	Autophagy protein 16 (ATG16)	ATG16
PF12744	Autophagy protein Atg19, Atg8-binding	ATG19_autophagy
PF11700	Vacuole effluxer Atg22 like	ATG22
PF09451	Autophagy-related protein 27	ATG27
PF13329	Autophagy-related protein 2 CAD motif	ATG2_CAD
PF09795	Autophagy-related protein 31	Atg31
PF02991	Autophagy protein Atg8 ubiquitin like	Atg8
PF09333	ATG C terminal domain	ATG_C
PF03078	ATHILA ORF-1 family	ATHILA
PF07737	Anthrax toxin lethal factor, N- and C-terminal domain	ATLF
PF03477	ATP cone domain	ATP-cone
PF02222	ATP-grasp domain	ATP-grasp
PF08442	ATP-grasp domain	ATP-grasp_2
PF02655	ATP-grasp domain	ATP-grasp_3
PF13535	ATP-grasp domain	ATP-grasp_4
PF13549	ATP-grasp domain	ATP-grasp_5
PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain	ATP-gua_Ptrans
PF02807	ATP:guanido phosphotransferase, N-terminal domain	ATP-gua_PtransN
PF01747	ATP-sulfurylase	ATP-sulfurylase
PF00231	ATP synthase	ATP-synt
PF05176	ATP10 protein	ATP-synt_10
PF00895	ATP synthase protein 8	ATP-synt_8
PF00119	ATP synthase A chain	ATP-synt_A
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	ATP-synt_ab
PF00306	ATP synthase alpha/beta chain, C terminal domain	ATP-synt_ab_C
PF02874	ATP synthase alpha/beta family, beta-barrel domain	ATP-synt_ab_N
PF00430	ATP synthase B/B' CF(0)	ATP-synt_B
PF00137	ATP synthase subunit C	ATP-synt_C
PF01813	ATP synthase subunit D	ATP-synt_D
PF00401	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	ATP-synt_DE
PF02823	ATP synthase, Delta/Epsilon chain, beta-sandwich domain	ATP-synt_DE_N
PF05680	ATP synthase E chain	ATP-synt_E
PF04627	Mitochondrial ATP synthase epsilon chain	ATP-synt_Eps
PF08112	ATP synthase epsilon subunit	ATP-synt_E_2
PF01990	ATP synthase (F/14-kDa) subunit	ATP-synt_F
PF05511	Mitochondrial ATP synthase coupling factor 6	ATP-synt_F6
PF04718	Mitochondrial ATP synthase g subunit	ATP-synt_G
PF04911	ATP synthase j chain	ATP-synt_J
PF05827	Vacuolar ATP synthase subunit S1 (ATP6S1)	ATP-synt_S1
PF06644	ATP11 protein	ATP11
PF07542	ATP12 chaperone protein	ATP12
PF12921	Mitochondrial ATPase expression	ATP13
PF02038	ATP1G1/PLM/MAT8 family	ATP1G1_PLM_MAT8
PF12156	Putative metal-binding domain of cation transport ATPase	ATPase-cat_bd
PF09527	Putative F0F1-ATPase subunit (ATPase_gene1)	ATPase_gene1
PF14397	Sugar-transfer associated ATP-grasp	ATPgrasp_ST
PF15632	ATP-grasp in the biosynthetic pathway with Ter operon	ATPgrasp_Ter
PF14305	TupA-like ATPgrasp	ATPgrasp_TupA
PF14398	YheC/D like ATP-grasp	ATPgrasp_YheCD
PF12966	N-ATPase, AtpR subunit	AtpR
PF03029	Conserved hypothetical ATP binding protein	ATP_bind_1
PF03668	P-loop ATPase protein family	ATP_bind_2
PF01171	PP-loop family	ATP_bind_3
PF01902	ATP-binding region	ATP_bind_4
PF12424	Plasma membrane calcium transporter ATPase C terminal	ATP_Ca_trans_C
PF10775	ATP synthase complex subunit h	ATP_sub_h
PF14960	ATP synthase regulation	ATP_synth_reg
PF05493	ATP synthase subunit H	ATP_synt_H
PF03899	ATP synthase I chain	ATP_synt_I
PF09830	ATP adenylyltransferase	ATP_transf
PF05353	Delta Atracotoxin	Atracotoxin
PF03154	Atrophin-1 family	Atrophin-1
PF15445	acidic terminal segments, variant surface antigen of PfEMP1	ATS
PF06232	Embryo-specific protein 3, (ATS3)	ATS3
PF11263	Borrelia burgdorferi attachment protein P66	Attachment_P66
PF03769	Attacin, C-terminal region	Attacin_C
PF03768	Attacin, N-terminal region	Attacin_N
PF08037	Attractin family	Attractin
PF11512	Agrobacterium tumefaciens protein Atu4866	Atu4866
PF09759	Spinocerebellar ataxia type 10 protein domain	Atx10homo_assoc
PF12547	Capicua transcriptional repressor modulator	ATXN-1_C
PF08098	Anemonia sulcata toxin III family	ATX_III
PF02178	AT hook motif	AT_hook
PF15187	Oesophageal cancer-related gene 4	Augurin
PF11583	P-aminobenzoate N-oxygenase AurF	AurF
PF09041	Aurora-A binding	Aurora-A_bind
PF03472	Autoinducer binding domain	Autoind_bind
PF00765	Autoinducer synthetase	Autoind_synth
PF03987	Autophagocytosis associated protein, active-site domain	Autophagy_act_C
PF10381	Autophagocytosis associated protein C-terminal	Autophagy_Cterm
PF03986	Autophagocytosis associated protein (Atg3), N-terminal domain	Autophagy_N
PF03797	Autotransporter beta-domain	Autotransporter
PF12951	Autotransporter-associated beta strand repeat	Autotrns_rpt
PF06677	Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27)	Auto_anti-p27
PF15336	Autism susceptibility gene 2 protein	Auts2
PF02041	Auxin binding protein	Auxin_BP
PF05703	Auxin canalisation	Auxin_canalis
PF02519	Auxin responsive protein	Auxin_inducible
PF05564	Dormancy/auxin associated protein	Auxin_repressed
PF06507	Auxin response factor	Auxin_resp
PF02309	AUX/IAA family	AUX_IAA
PF03708	Avian retrovirus envelope protein, gp85	Avian_gp85
PF01382	Avidin family	Avidin
PF11599	RRNA methyltransferase AviRa	AviRa
PF03377	Xanthomonas avirulence protein, Avr/PthA	Avirulence
PF09794	Transport protein Avl9	Avl9
PF05394	Avirulence protein	AvrB_AvrC
PF05655	Pseudomonas avirulence D protein (AvrD)	AvrD
PF11725	Pathogenicity factor	AvrE
PF11529	Melampsora lini avirulence protein AvrL567-A	AvrL567-A
PF09143	AvrPphF-ORF-2	AvrPphF-ORF-2
PF11592	Central core of the bacterial effector protein AvrPto	AvrPto
PF09046	AvrPtoB E3 ubiquitin ligase	AvrPtoB-E3_ubiq
PF05627	Cleavage site for pathogenic type III effector avirulence factor Avr	AvrRpt-cleavage
PF06536	Avian adenovirus fibre	Av_adeno_fibre
PF05512	AWPM-19-like family	AWPM-19
PF05448	Acetyl xylan esterase (AXE1)	AXE1
PF08517	Ataxin-1 and HBP1 module (AXH)	AXH
PF08833	Axin beta-catenin binding domain	Axin_b-cat_bind
PF10211	Axonemal dynein light chain	Ax_dynein_light
PF03591	AzlC protein	AzlC
PF05437	Branched-chain amino acid transport protein (AzlD)	AzlD
PF01356	Alpha amylase inhibitor	A_amylase_inhib
PF02137	Adenosine-deaminase (editase) domain	A_deamin
PF00962	Adenosine/AMP deaminase	A_deaminase
PF08451	Adenosine/AMP deaminase N-terminal	A_deaminase_N
PF09713	Plant protein 1589 of unknown function (A_thal_3526)	A_thal_3526
PF02216	B domain	B
PF04182	B-block binding subunit of TFIIIC	B-block_TFIIIC
PF02246	Protein L b1 domain	B1
PF02310	B12 binding domain	B12-binding
PF02607	B12 binding domain	B12-binding_2
PF06522	NADH-ubiquinone reductase complex 1 MLRQ subunit	B12D
PF11473	RNA binding protein B2	B2
PF09066	Beta2-adaptin appendage, C-terminal sub-domain	B2-adapt-app_C
PF02362	B3 DNA binding domain	B3
PF03483	B3/4 domain	B3_4
PF03484	tRNA synthetase B5 domain	B5
PF01603	Protein phosphatase 2A regulatory B subunit (B56 family)	B56
PF07162	Ciliary basal body-associated, B9 protein	B9-C2
PF07886	BA14K-like protein	BA14K
PF06989	BAALC N-terminus	BAALC_N
PF08840	BAAT / Acyl-CoA thioester hydrolase C terminal	BAAT_C
PF02673	Bacitracin resistance protein BacA	BacA
PF05791	Bacillus haemolytic enterotoxin (HBL)	Bacillus_HBL
PF05968	Bacillus PapR protein	Bacillus_PapR
PF07707	BTB And C-terminal Kelch	BACK
PF13004	Bacteroidetes-Associated Carbohydrate-binding Often N-terminal	BACON
PF10432	Bacterial phospho-glucose isomerase C-terminal region	bact-PGI_C
PF12173	Bacteriocin class IIc cyclic gassericin A-like	BacteriocIIc_cy
PF01721	Class II bacteriocin	Bacteriocin_II
PF10439	Bacteriocin class II with double-glycine leader peptide	Bacteriocin_IIc
PF09221	Bacteriocin class IId cyclical uberolysin-like	Bacteriocin_IId
PF11758	Aureocin-like type II bacteriocin	Bacteriocin_IIi
PF14406	Ribosomally synthesized peptide in Bacteroidetes	Bacteroid_pep
PF04519	Polymer-forming cytoskeletal	Bactofilin
PF08379	Bacterial transglutaminase-like N-terminal region	Bact_transglu_N
PF06143	Baculovirus 11 kDa family	Baculo_11_kDa
PF04798	Baculovirus 19 kDa protein conserved region	Baculo_19
PF04631	Baculovirus hypothetical protein	Baculo_44
PF06096	Baculoviridae 8.2 KDa protein	Baculo_8kDa
PF04786	ssDNA binding protein	Baculo_DNA_bind
PF05274	Occlusion-derived virus envelope protein E25	Baculo_E25
PF04639	Baculoviral E56 protein, specific to ODV envelope	Baculo_E56
PF04850	Baculovirus E66 occlusion-derived virus envelope protein	Baculo_E66
PF03258	Baculovirus FP protein	Baculo_FP
PF04700	Structural glycoprotein p40/gp41 conserved region	Baculo_gp41
PF03273	Baculovirus gp64 envelope glycoprotein family	Baculo_gp64
PF04735	Baculovirus DNA helicase	Baculo_helicase
PF05290	Baculovirus immediate-early protein (IE-0)	Baculo_IE-1
PF07206	Baculovirus late expression factor 10 (LEF-10)	Baculo_LEF-10
PF06385	Baculovirus LEF-11 protein	Baculo_LEF-11
PF03041	lef-2	Baculo_LEF-2
PF05847	Nucleopolyhedrovirus late expression factor 3 (LEF-3)	Baculo_LEF-3
